Zeit;Kanal A
(ms);(V)

-3,31392074;0,66252458
-3,31381674;0,70973796
-3,31371274;0,66252458
-3,31360874;0,70973796
-3,31350474;0,70973796
-3,31340074;0,70973796
-3,31329674;0,66252458
-3,31319274;0,66252458
-3,31308874;0,66252458
-3,31298474;0,70973796
-3,31288074;0,70973796
-3,31277674;0,70973796
-3,31267274;0,70973796
-3,31256874;0,70973796
-3,31246474;0,70973796
-3,31236074;0,70973796
-3,31225674;0,70973796
-3,31215274;0,66252458
-3,31204874;0,66252458
-3,31194474;0,70973796
-3,31184074;0,66252458
-3,31173674;0,70973796
-3,31163274;0,70973796
-3,31152874;0,70973796
-3,31142474;0,66252458
-3,31132074;0,70973796
-3,31121674;0,66252458
-3,31111274;0,70973796
-3,31100874;0,66252458
-3,31090474;0,70973796
-3,31080074;0,66252458
-3,31069674;0,70973796
-3,31059274;0,70973796
-3,31048874;0,70973796
-3,31038474;0,66252458
-3,31028074;0,70973796
-3,31017674;0,66252458
-3,31007274;0,70973796
-3,30996874;0,66252458
-3,30986474;0,70973796
-3,30976074;0,70973796
-3,30965674;0,70973796
-3,30955274;0,66252458
-3,30944874;0,70973796
-3,30934474;0,70973796
-3,30924074;0,70973796
-3,30913674;0,70973796
-3,30903274;0,66252458
-3,30892874;0,66252458
-3,30882474;0,70973796
-3,30872074;0,66252458
-3,30861674;0,66252458
-3,30851274;0,66252458
-3,30840874;0,70973796
-3,30830474;0,70973796
-3,30820074;0,70973796
-3,30809674;0,70973796
-3,30799274;0,70973796
-3,30788874;0,70973796
-3,30778474;0,70973796
-3,30768074;0,66252458
-3,30757674;0,70973796
-3,30747274;0,70973796
-3,30736874;0,66252458
-3,30726474;0,66252458
-3,30716074;0,66252458
-3,30705674;0,66252458
-3,30695274;0,70973796
-3,30684874;0,66252458
-3,30674474;0,70973796
-3,30664074;0,66252458
-3,30653674;0,70973796
-3,30643274;0,66252458
-3,30632874;0,70973796
-3,30622474;0,66252458
-3,30612074;0,70973796
-3,30601674;0,66252458
-3,30591274;0,70973796
-3,30580874;0,66252458
-3,30570474;0,66252458
-3,30560074;0,66252458
-3,30549674;0,70973796
-3,30539274;0,66252458
-3,30528874;0,70973796
-3,30518474;0,70973796
-3,30508074;0,66252458
-3,30497674;0,66252458
-3,30487274;0,66252458
-3,30476874;0,66252458
-3,30466474;0,70973796
-3,30456074;0,66252458
-3,30445674;0,70973796
-3,30435274;0,70973796
-3,30424874;0,70973796
-3,30414474;0,70973796
-3,30404074;0,70973796
-3,30393674;0,70973796
-3,30383274;0,66252458
-3,30372874;0,70973796
-3,30362474;0,70973796
-3,30352074;0,66252458
-3,30341674;0,70973796
-3,30331274;0,70973796
